additional_services,address,baggage_storage,built_surface_area_m2,city,civil_protection,commercial_units_count,concession_authority,convention_signature_date,daily_passenger_count,exploitation_start_date,financial_institutions,hospitals,hostels,hotels,inter_willaya_taxi_count,local_administration,long_distance_departures_per_day,long_distance_destinations,long_distance_line,medium_distance_departures_per_day,medium_distance_destinations,medium_distance_line,number_of_platforms,nursing_room,parking_spaces,police_security,prayer_room,public_garden,short_distance_destinations,short_distance_line,short_distance_rotations,station_name,surveillance,total_departures,total_surface_area_m2,tourist_sites,urban_shuttle_count,urban_taxi_count,wifi_available
,,False,,AFLOU,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,ADRAR,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,":  04 CHEMINS, BEJAIA 06000",True,46,Bejaïa,Établissements financières,12,None,14/04/2011,40000,Nos services,,"Khalil Amrane   034 12 32 37, Frantz fanon 034 21 11 21",,"Atlantis   034 18 01 01, Sarasin          034 81 03 34",70,DTW    034 21 19 02,68,": 50/jour, ORAN : 02/jours. SIDI BELABBES : 01/jour. CONSTANTINE : 02/jour. ANNABA : 01/jour. SETIF PAR BBA : 01/jour. GHARDAIA : 02/jour. HASSI MESSAOUD : 06/jour. OUARGLA : 02/jour. TAMANRASSET : 01/jour.",,257,SETIF : 84/jour. BOUANDAS : 26/jour.  BENI MOUHLI : 06/jour. BENI OURTILANE : 01/jour.  BOUSLAM : 13/jour. JIJEL : 65/jour.  BOUIRA : 26/jour.  TIZI OUZOU : 46/jour.  BORDJ BOUARARIDJ : 04/jour.,,102,False,520,,True,,:  VALLEE : BENI DJELLIL : 18/jour. SEMAOUNE : 23/jour. TIMZRIT : 72/jour. FENAIA : 04/jour. BENI MAOUCHE : 26/jour. AKBOU : 75/jour. OUZELLAGUENE. 23/jour. TAZMALT : 66/jour. OUED GHIR : 180/jour. MELLALA : 05 départs (navette). TOUDJA : 64/jour. TALAHIBA : 28/jour. ADEKAR : 42/jour. BERCHICHE : 102/jour. ELKSEUR : 78/jour. SIDI AICH : 116/jour. CHEMINI : 24/jour. SEDDOUK : 68/jour SAHEL : TALA HAMZA : 11 départs (navette). AMIZOUR : 138/jour. BOUKHALFA : 84/jour.XANTINA : 32/jour. BARBACHA : 87/jour. IGHIL IALOUANENE : 49/jour. FERAOUNE : 69/jour. KENDIRA : 35/jour TASKRIOUT : 92/jour.  SOUK EL TENINE : 167/jour. AOKAS : 177/jour. DARGUINA : 28/jour. KHERRATA : 99/jour. TICHY : 140/jour,,2072,"ZERNOUH MOHAMED dit HOURANI, agence bejaia EPE/SPA",False,,,,29,25,False
,,False,,M’daourouch,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: ROUTE NATIONALE         N°  16 BIR EL ATER,False,1106,BIR-EL ATER,,5,,,300,2015,,,,,06,,9,: /,,33,: : /,,13,False,,,False,,/,01,01,berai saleh ben ibrahim,False,,10,,19,06,False
,:  city halil Tissemsilt,True,,TISSEMSSILT,cite ain lourent tissesilt,14,None,12/09/2017,3000,Nos services,,- administration locale   non,non,hôtel mellas  - Tourki,190,,16,Bechar –Sétif- debdeb- Blida,18,02,Khemis Meliana,02,25,False,,citie 200 logts tissemsilt,True,,:  Lardjem -  theniet elhad – amari -Bordj Bounaama – Tiaret – kessar chellala – Mehdia -   ,131,262,Dendane Abdelkader,False,,,,27,400,False
Autres services ,:  ,True,8000,Bordj Bou Arreridj,,31, Dtw,05/11/2018,2500,Nos services,,,,,120,,26,: 24,44,55,: 42,43,70,True,6000,,True,, 115,115,460,          ,False,,,,45,85,False
,,False,,Biskra,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,BLIDA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
 restaurants – cafétérias-lavage auto- dortoir,: route nationale n°06 debdaba Béchar.,True,6370,Bechar,numéro de tél   14 Hai Sebbane-hai essalam,31, wilaya de Béchar  ,18/10/2012,700,01/07/2013,banque BDL-Banque AGB-bureau d’Algérie poste.     -,tourabi Bou djemaa 240-centre de lutte contre le cancer-clinique d’ophtalmologie algéro-cubaine.,auberge de jeunesse cite essalam-auberge Hai riadhi.,hôtel wakda- hôtel grouze- hôtel taghit- hôtel Antar.,160,wilaya de Béchar -Apc de Bécha,43,: adrar-alger-ain sefra-temouchent-el abiodh sidi cheikh-el bayadh-el oued-maghnia-mecheria-mostaganem-oran-ouargla-oued rhiou-sidi belabbes-tiaret-timimoun-tindouf-tissemsilt-tlemcen.,20,,: /,,15,True,0,sureté urbaine           06ème.,False,jardin wakda.,/,,,. Gare routière de Béchar,True,,29400,Taghit –kenadsa.,00,,True
,,False,,Annaba,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,":  Hai Zitoune , Route d’Oran Ain Temouchent",True,3519,ain timouchent 02,043 67 69 92,15,None,03/03/2013,4910,Nos services,,BENDZERDJEB   043 79 85 09,043 79 26 48,BEL AIR 1  043 60 13 92,110,DTW  043 77 97 69,19,:  EL OUED – BECHAR – BATNA -HASSI MESSAOUD –BISKRA – CONSTANTINE – ALGER - ADRAR,,164,ORAN – SIDI BEL ABBES – TLEMCEN,,55,True,1500,043 62 39 02 / 03,True,,:  EL AMIRIA – AIN TOLBA – BENI SAF – OULHACA,04,14,: Nouvelle Gare Routière «  ECHAHID  YEKHLLEF BLOUFA MOHAMED »,False,,28234,,08,30,False
,,False,,Alger,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Ain Safra,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Ain Témouchent-2,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: ROUTE NATIONALE N° 46 TOLGA – BISKRA,True,911,Tolga,033 59 75 56,09,None,03/11/2013,240,Nos services,,033 57 93 55,/,/,10,033 78  79  01,45,:ALGER .BOUMERDES . TIPAZA . BLIDA. DJELFA.BECHAR .ORAN. TLEMCEN . AIN TEMOUCHANT. MOSTAGHANEM. SIDI BEL ABBES,45,14,BATNA,,06,False,11604,033 74 16 66,True,,BESKRA,28,02,GARE DE TRANSPORT DES VOYAGEURS,False,,20256,,00,104,True
, Abou Techfine TLEMCEN,True,3902,Tlemcen,,15,None,16/09/2017,30000,Nos services,,"CHU de Tlemcen05, Bd Mohammed V - Tlemcen. Standard   043 41.72.34","Auberge""Ali Bekkar"" Centre Ville Quartier Kebbasse Tlemce","_Hotel Nedjma Cité Nedjma,, Tlemcen",500,,55,,,73,,,,True,120,043278084 N° VERT 15-48,True,,,,02,Yahia bachir,False,,70673,,32,300,False
,,False,,TIPAZA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Tindouf,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
